instrument_token,last_trade_time,last_price,oi_day_high,oi_day_low,volume
779521,2024-04-03 12:09:16,763.05,0,0,4626189
779521,2024-04-03 12:09:16,763.05,0,0,4626189
779521,2024-04-03 12:09:16,763.05,0,0,4626189
779521,2024-04-03 12:09:17,762.85,0,0,4626241
779521,2024-04-03 12:09:17,762.85,0,0,4626241
779521,2024-04-03 12:09:17,762.85,0,0,4626241
779521,2024-04-03 12:09:17,762.85,0,0,4626241
779521,2024-04-03 12:09:17,762.85,0,0,4626241
779521,2024-04-03 12:09:17,762.85,0,0,4626241
779521,2024-04-03 12:09:17,762.85,0,0,4626241
779521,2024-04-03 12:09:17,762.85,0,0,4626241
779521,2024-04-03 12:09:17,763.1,0,0,4626241
779521,2024-04-03 12:09:17,763.1,0,0,4626241
779521,2024-04-03 12:09:17,763.1,0,0,4626241
779521,2024-04-03 12:09:19,763.1,0,0,4626610
779521,2024-04-03 12:09:19,763.1,0,0,4626610
779521,2024-04-03 12:09:19,763.1,0,0,4626610
779521,2024-04-03 12:09:19,763.1,0,0,4626610
779521,2024-04-03 12:09:19,763.1,0,0,4626610
779521,2024-04-03 12:09:19,763.1,0,0,4626610
779521,2024-04-03 12:09:19,763.1,0,0,4626610
779521,2024-04-03 12:09:19,763.05,0,0,4626610
779521,2024-04-03 12:09:19,763.05,0,0,4626610
779521,2024-04-03 12:09:19,763.05,0,0,4626610
779521,2024-04-03 12:09:19,763.05,0,0,4626610
779521,2024-04-03 12:09:19,763.05,0,0,4626610
779521,2024-04-03 12:09:19,763.05,0,0,4626859
779521,2024-04-03 12:09:19,763.05,0,0,4626859
779521,2024-04-03 12:09:19,763.05,0,0,4626859
779521,2024-04-03 12:09:19,763.05,0,0,4626859
779521,2024-04-03 12:09:19,763.05,0,0,4626859
779521,2024-04-03 12:09:19,763.05,0,0,4626859
779521,2024-04-03 12:09:21,763,0,0,4627082
779521,2024-04-03 12:09:21,763,0,0,4627082
779521,2024-04-03 12:09:21,763,0,0,4627082
779521,2024-04-03 12:09:21,763,0,0,4627082
779521,2024-04-03 12:09:21,763,0,0,4627082
779521,2024-04-03 12:09:21,763,0,0,4627082
779521,2024-04-03 12:09:21,763,0,0,4627082
779521,2024-04-03 12:09:22,763.1,0,0,4627136
779521,2024-04-03 12:09:22,763.1,0,0,4627136
779521,2024-04-03 12:09:22,763.1,0,0,4627136
779521,2024-04-03 12:09:22,763.1,0,0,4627136
779521,2024-04-03 12:09:22,763.1,0,0,4627136
